CODIGO;MUNICIPIO;CENSO;ABSTENCION;VOTOS;NULOS;VALIDOS;BLANCOS;A_CANDID;UPN;PSOE;CDN;IUN_NEB;BATZARRE;EA_EAJ-PNV;EKA;PH;ARALAR
0;Total Navarra;464807;136198;328609;21292;307317;7304;300013;127460;65003;23516;26962;7873;22824;1017;1290;24068
1;Abáigar;76;20;56;0;56;2;54;27;7;4;3;1;5;0;0;7
2;Abárzuza;444;176;268;15;253;3;250;127;23;24;19;4;28;0;6;19
3;Abaurregaina/Abaurrea Alta;148;17;131;19;112;3;109;49;13;6;2;3;11;0;2;23
4;Abaurrepea/Abaurrea Baja;39;17;22;0;22;1;21;9;2;1;2;0;3;1;1;2
5;Aberin;293;67;226;8;218;12;206;103;45;5;26;0;7;0;4;16
6;Ablitas;1945;363;1582;34;1548;30;1518;827;435;51;129;25;16;21;1;13
7;Adiós;134;26;108;13;95;4;91;56;6;4;14;1;5;1;0;4
8;Aguilar de Codés;105;26;79;1;78;4;74;50;6;9;2;1;4;0;0;2
9;Aibar/Oibar;777;244;533;21;512;11;501;195;132;38;44;3;26;1;0;62
10;Altsasu/Alsasua;5870;1857;4013;596;3417;45;3372;934;762;142;395;42;492;3;14;588
11;Allín;671;250;421;6;415;13;402;219;55;38;40;10;19;0;6;15
12;Allo;891;177;714;8;706;22;684;312;187;44;74;17;25;0;3;22
13;Améscoa Baja;710;323;387;10;377;8;369;188;33;36;43;12;12;1;0;44
14;Ancín;252;90;162;13;149;4;145;93;18;6;8;2;12;0;0;6
15;Andosilla;2060;489;1571;29;1542;38;1504;693;540;118;53;9;34;8;3;46
16;Ansoáin;6943;2382;4561;402;4159;114;4045;766;1154;321;657;359;252;7;30;499
17;Anue;340;173;167;19;148;6;142;50;12;21;12;0;13;1;0;33
18;Añorbe;380;51;329;3;326;11;315;160;51;36;29;3;7;9;0;20
19;Aoiz/Agoitz;1617;332;1285;302;983;42;941;422;139;75;55;17;144;0;4;85
20;Araitz;523;217;306;128;178;3;175;49;2;18;3;6;36;0;0;61
21;Aranarache;81;19;62;4;58;1;57;21;14;2;3;5;6;0;0;6
22;Arantza;566;86;480;112;368;5;363;44;12;11;9;3;202;0;1;81
23;Aranguren;3325;755;2570;110;2460;101;2359;968;362;288;230;70;171;5;26;239
24;Arano;133;62;71;23;48;1;47;4;0;4;1;0;19;0;0;19
25;Arakil;731;233;498;49;449;13;436;184;50;36;27;10;43;5;4;77
26;Aras;208;20;188;9;179;4;175;73;53;31;7;0;4;1;0;6
27;Arbizu;760;173;587;234;353;8;345;51;8;30;11;7;150;0;0;88
28;Arce/Artzi;247;82;165;25;140;6;134;53;13;22;3;5;8;1;0;29
29;Los Arcos;1091;212;879;31;848;25;823;482;151;58;53;7;22;10;3;37
30;Arellano;175;34;141;3;138;0;138;36;21;17;15;4;17;3;0;25
31;Areso;258;9;249;51;198;4;194;19;6;78;3;45;26;0;0;17
32;Arguedas;1893;380;1513;23;1490;39;1451;868;432;41;47;25;8;6;4;20
33;Aria;58;23;35;5;30;0;30;10;5;8;2;0;3;0;0;2
34;Aribe;59;23;36;9;27;2;25;14;0;0;3;0;4;0;0;4
35;Armañanzas;81;23;58;1;57;1;56;30;15;3;3;0;3;1;0;1
36;Arróniz;973;236;737;45;692;9;683;277;202;30;80;41;22;2;1;28
37;Arruazu;92;26;66;8;58;1;57;13;0;1;3;0;29;0;0;11
38;Artajona;1411;293;1118;23;1095;48;1047;457;303;77;83;7;63;3;6;48
39;Artazu;91;20;71;2;69;1;68;22;13;7;7;5;2;0;0;12
40;Atez;199;32;167;20;147;8;139;51;17;21;12;1;12;0;1;24
41;Ayegui;909;308;601;23;578;19;559;230;90;51;60;9;51;8;5;55
42;Azagra;2786;498;2288;22;2266;32;2234;1029;1052;50;69;2;17;5;1;9
43;Azuelo;48;4;44;1;43;1;42;28;10;4;0;0;0;0;0;0
44;Bakaiku;300;65;235;87;148;0;148;31;10;17;3;1;50;0;0;36
45;Barásoain;406;91;315;13;302;19;283;108;54;63;31;10;10;0;1;6
46;Barbarin;87;20;67;2;65;4;61;50;6;2;1;1;0;1;0;0
47;Bargota;342;96;246;21;225;6;219;103;69;8;5;0;26;1;0;7
48;Barillas;174;33;141;0;141;0;141;113;13;4;5;2;2;0;1;1
49;Basaburua;590;159;431;140;291;6;285;120;15;25;4;5;46;0;0;70
50;Baztan;6396;1615;4781;451;4330;77;4253;1582;168;185;69;32;1858;1;4;354
51;Beire;248;77;171;13;158;3;155;80;52;8;9;0;0;0;0;6
52;Belascoáin;85;12;73;1;72;3;69;28;7;8;10;5;3;1;3;4
53;Berbinzana;616;130;486;21;465;6;459;215;131;24;36;10;14;1;2;26
54;Bertizarana;529;169;360;54;306;15;291;87;13;10;17;1;136;0;1;26
55;Betelu;283;77;206;25;181;9;172;29;11;15;1;0;35;1;1;79
56;Biurrun-Olcoz;178;59;119;10;109;4;105;43;17;21;15;2;0;0;0;7
57;Buñuel;1936;268;1668;19;1649;32;1617;914;610;40;20;11;12;4;1;5
58;Auritz/Burguete;270;59;211;8;203;12;191;86;6;18;13;7;39;1;0;21
59;Burgui/Burgi;207;59;148;19;129;5;124;39;14;48;5;3;5;2;0;8
60;Burlada/Burlata;13603;5153;8450;604;7846;186;7660;2476;1646;881;893;296;434;24;28;982
